#t sim dt measure_data
# t1=1 t2=80.0 dt=79.0
# sim=0.5617740232312566
# len(old_es)=9164
82.0 83.0 0.5588235294117647 (6992, 12512, 9336, 10168)
83.0 84.0 0.5594615993665875 (7066, 12630, 9394, 10302)
84.0 85.0 0.5574247307601604 (7091, 12721, 9394, 10418)
85.0 86.0 0.5577285579641847 (7101, 12732, 9394, 10439)
86.0 87.0 0.555572827607648 (7148, 12866, 9463, 10551)
87.0 88.0 0.5493572084481175 (7179, 13068, 9528, 10719)
88.0 89.0 0.5509330070357907 (7204, 13076, 9601, 10679)
89.0 90.0 0.5482413195752053 (7279, 13277, 9659, 10897)
90.0 91.0 0.5457469888531458 (7295, 13367, 9698, 10964)
91.0 92.0 0.5452918810109595 (7314, 13413, 9699, 11028)
92.0 93.0 0.543347893684756 (7339, 13507, 9706, 11140)
93.0 94.0 0.5438222091397453 (7390, 13589, 9776, 11203)
94.0 95.0 0.5433940191562477 (7432, 13677, 9828, 11281)
95.0 96.0 0.5446369817942531 (7449, 13677, 9868, 11258)
96.0 97.0 0.5442477876106194 (7503, 13786, 9936, 11353)
97.0 98.0 0.5454611159294593 (7547, 13836, 10001, 11382)
98.0 99.0 0.5446280395410924 (7548, 13859, 10004, 11403)
99.0 100.0 0.5438722669735327 (7562, 13904, 10004, 11462)
100.0 101.0 0.5414526255707762 (7589, 14016, 10055, 11550)
110.0 111.0 0.5354554690145614 (7906, 14765, 10611, 12060)
120.0 121.0 0.5262991728231357 (8335, 15837, 10924, 13248)
130.0 131.0 0.5307796693807056 (8605, 16212, 11475, 13342)
140.0 141.0 0.5320790551368034 (8965, 16849, 11801, 14013)
150.0 151.0 0.5253987172938305 (9257, 17619, 12134, 14742)
160.0 161.0 0.5146189313805262 (9487, 18435, 12408, 15514)
170.0 171.0 0.5055813953488372 (9783, 19350, 12732, 16401)
180.0 181.0 0.5077462009078351 (10291, 20268, 13367, 17192)
190.0 191.0 0.4829024569123579 (10535, 21816, 13677, 18674)
200.0 201.0 0.4651995685005394 (10781, 23175, 14016, 19940)
210.0 211.0 0.45510938340019025 (11005, 24181, 14321, 20865)
220.0 221.0 0.4500277843931095 (11338, 25194, 14765, 21767)
230.0 231.0 0.44911351600276306 (11703, 26058, 15150, 22611)
240.0 241.0 0.46187258687258687 (12441, 26936, 15837, 23540)
250.0 251.0 0.4533381063182388 (12664, 27935, 16139, 24460)
260.0 261.0 0.43887691986934463 (12630, 28778, 16212, 25196)
270.0 271.0 0.4339298352037205 (12876, 29673, 16572, 25977)
280.0 281.0 0.42868328330940886 (13140, 30652, 16849, 26943)
290.0 291.0 0.42392914552274086 (13450, 31727, 17164, 28013)
300.0 301.0 0.42566752266328395 (13758, 32321, 17619, 28460)
310.0 311.0 0.4310510194610315 (13932, 32321, 17987, 28266)
320.0 321.0 0.43476377587327125 (14052, 32321, 18435, 27938)
330.0 331.0 0.44098264286377276 (14253, 32321, 18873, 27701)
340.0 341.0 0.4459639243835277 (14414, 32321, 19350, 27385)
350.0 351.0 0.4483462764147149 (14491, 32321, 19739, 27073)
360.0 361.0 0.45060486989882736 (14564, 32321, 20268, 26617)
370.0 371.0 0.4571950125305529 (14777, 32321, 20896, 26202)
380.0 381.0 0.45951548528820274 (14852, 32321, 21816, 25357)
390.0 391.0 0.4608149500324866 (14894, 32321, 22266, 24949)
400.0 401.0 0.47238637418396706 (15268, 32321, 23175, 24414)
410.0 411.0 0.47882181863184925 (15476, 32321, 24040, 23757)
420.0 421.0 0.4764394666006621 (15399, 32321, 24181, 23539)
430.0 431.0 0.4739333560224003 (15318, 32321, 24713, 22926)
440.0 441.0 0.4654249559110176 (15043, 32321, 25194, 22170)
450.0 451.0 0.4585563565483741 (14821, 32321, 25595, 21547)
460.0 461.0 0.45001701680022277 (14545, 32321, 26058, 20808)
470.0 471.0 0.44661365675566966 (14435, 32321, 26544, 20212)
480.0 481.0 0.43773398100306304 (14148, 32321, 26936, 19533)
490.0 491.0 0.4281736332415457 (13839, 32321, 27474, 18686)
500.0 501.0 0.42158349060982026 (13626, 32321, 27935, 18012)
510.0 511.0 0.4041335354722936 (13062, 32321, 28343, 17040)
520.0 521.0 0.38965378546455864 (12594, 32321, 28778, 16137)
530.0 531.0 0.36644905788806037 (11844, 32321, 29332, 14833)
540.0 541.0 0.35336159153491536 (11421, 32321, 29673, 14069)
550.0 551.0 0.32910491630828254 (10637, 32321, 30183, 12775)
560.0 561.0 0.29324587729340057 (9478, 32321, 30652, 11147)
570.0 571.0 0.23931809040561863 (7735, 32321, 31143, 8913)
580.0 581.0 0.18316264967049287 (5920, 32321, 31727, 6514)
590.0 591.0 0.10900034033600446 (3523, 32321, 32107, 3737)

# t1=80.0 t2=158.0 dt=78.0
# sim=0.5620776683220712
# len(old_es)=10023
1.0 81.0 0.19093780633917873 (1753, 9181, 9164, 1770)
2.0 82.0 0.2809436604545944 (2608, 9283, 9164, 2727)
3.0 83.0 0.31780205655526994 (2967, 9336, 9164, 3139)
4.0 84.0 0.3500106450926123 (3288, 9394, 9164, 3518)
5.0 85.0 0.3502235469448584 (3290, 9394, 9164, 3520)
6.0 86.0 0.35118160527996595 (3299, 9394, 9164, 3529)
7.0 87.0 0.38201416041424496 (3615, 9463, 9164, 3914)
8.0 88.0 0.4016582703610411 (3827, 9528, 9164, 4191)
9.0 89.0 0.41974794292261225 (4030, 9601, 9164, 4467)
10.0 90.0 0.4352417434517031 (4204, 9659, 9164, 4699)
11.0 91.0 0.44689626727160237 (4334, 9698, 9164, 4868)
12.0 92.0 0.44757191463037427 (4341, 9699, 9164, 4876)
13.0 93.0 0.4480733566865856 (4349, 9706, 9164, 4891)
14.0 94.0 0.4622545008183306 (4519, 9776, 9164, 5131)
15.0 95.0 0.4781237281237281 (4699, 9828, 9164, 5363)
16.0 96.0 0.4858127280097284 (4794, 9868, 9164, 5498)
17.0 97.0 0.49013687600644124 (4870, 9936, 9164, 5642)
18.0 98.0 0.49805019498050196 (4981, 10001, 9164, 5818)
19.0 99.0 0.49790083966413434 (4981, 10004, 9164, 5821)
20.0 100.0 0.49820071971211516 (4984, 10004, 9164, 5824)
21.0 101.0 0.5047240179015415 (5075, 10055, 9164, 5966)
22.0 102.0 0.5071666993913214 (5166, 10186, 9164, 6188)
23.0 103.0 0.5117115365924774 (5265, 10289, 9164, 6390)
24.0 104.0 0.5193551501110146 (5380, 10359, 9164, 6575)
25.0 105.0 0.5265380554755734 (5486, 10419, 9164, 6741)
26.0 106.0 0.5266692248656946 (5490, 10424, 9164, 6750)
27.0 107.0 0.5272343690065209 (5498, 10428, 9164, 6762)
28.0 108.0 0.535881063566187 (5623, 10493, 9164, 6952)
29.0 109.0 0.536587686744695 (5639, 10509, 9164, 6984)
30.0 110.0 0.5428111384731957 (5731, 10558, 9164, 7125)
31.0 111.0 0.5446235039110358 (5779, 10611, 9164, 7226)
32.0 112.0 0.546895516788595 (5831, 10662, 9164, 7329)
33.0 113.0 0.5467929482370593 (5831, 10664, 9164, 7331)
34.0 114.0 0.5467929482370593 (5831, 10664, 9164, 7331)
35.0 115.0 0.5487270353445864 (5884, 10723, 9164, 7443)
36.0 116.0 0.5501531038322354 (5929, 10777, 9164, 7542)
37.0 117.0 0.5513863216266174 (5966, 10820, 9164, 7622)
38.0 118.0 0.5536878846330486 (6028, 10887, 9164, 7751)
39.0 119.0 0.5559318930794581 (6073, 10924, 9164, 7833)
40.0 120.0 0.5559318930794581 (6073, 10924, 9164, 7833)
41.0 121.0 0.5559318930794581 (6073, 10924, 9164, 7833)
42.0 122.0 0.5568802329814343 (6119, 10988, 9164, 7943)
43.0 123.0 0.5579356471438901 (6173, 11064, 9164, 8073)
44.0 124.0 0.5587521352153196 (6215, 11123, 9164, 8174)
45.0 125.0 0.5606087735004476 (6262, 11170, 9164, 8268)
46.0 126.0 0.5606006753154434 (6309, 11254, 9164, 8399)
47.0 127.0 0.5606006753154434 (6309, 11254, 9164, 8399)
48.0 128.0 0.5606397156819192 (6310, 11255, 9164, 8401)
49.0 129.0 0.5614670790985418 (6353, 11315, 9164, 8504)
50.0 130.0 0.5615884730275874 (6392, 11382, 9164, 8610)
51.0 131.0 0.5606971677559913 (6434, 11475, 9164, 8745)
52.0 132.0 0.5610116460976882 (6455, 11506, 9164, 8797)
53.0 133.0 0.5615750757247945 (6489, 11555, 9164, 8880)
54.0 134.0 0.5615750757247945 (6489, 11555, 9164, 8880)
55.0 135.0 0.5615264797507789 (6489, 11556, 9164, 8881)
56.0 136.0 0.5608015135878913 (6521, 11628, 9164, 8985)
57.0 137.0 0.5607436600411241 (6545, 11672, 9164, 9053)
58.0 138.0 0.5611130078525094 (6574, 11716, 9164, 9126)
59.0 139.0 0.561245321537938 (6598, 11756, 9164, 9190)
60.0 140.0 0.5607627118644067 (6617, 11800, 9164, 9253)
61.0 141.0 0.560884670790611 (6619, 11801, 9164, 9256)
62.0 142.0 0.5609694093720871 (6620, 11801, 9164, 9257)
63.0 143.0 0.5614242321970976 (6654, 11852, 9164, 9342)
64.0 144.0 0.5617647058823529 (6685, 11900, 9164, 9421)
65.0 145.0 0.5616999916338994 (6714, 11953, 9164, 9503)
66.0 146.0 0.5613596600849787 (6738, 12003, 9164, 9577)
67.0 147.0 0.5614267938614683 (6768, 12055, 9164, 9659)
68.0 148.0 0.5614267938614683 (6768, 12055, 9164, 9659)
69.0 149.0 0.5611940298507463 (6768, 12060, 9164, 9664)
70.0 150.0 0.5607962993556914 (6789, 12106, 9164, 9731)
71.0 151.0 0.5612328992912478 (6810, 12134, 9164, 9780)
72.0 152.0 0.5611097430846261 (6836, 12183, 9164, 9855)
73.0 153.0 0.5608201944285598 (6865, 12241, 9164, 9942)
74.0 154.0 0.5609736175773912 (6868, 12243, 9164, 9947)
75.0 155.0 0.5610552969043535 (6869, 12243, 9164, 9948)
76.0 156.0 0.5610911466840902 (6870, 12244, 9164, 9950)
77.0 157.0 0.5611269906084116 (6871, 12245, 9164, 9952)
78.0 158.0 0.5620776683220712 (6904, 12283, 9164, 10023)
79.0 159.0 0.5617740232312566 (6916, 12311, 9164, 10063)
80.0 160.0 0.5618177407617045 (6948, 12367, 9164, 10151)
81.0 161.0 0.5610896196002579 (6962, 12408, 9164, 10206)
82.0 162.0 0.5611702127659575 (6963, 12408, 9164, 10207)
83.0 163.0 0.5611702127659575 (6963, 12408, 9164, 10207)
84.0 164.0 0.5606644198363023 (6987, 12462, 9164, 10285)
85.0 165.0 0.5597026854219949 (7003, 12512, 9164, 10351)
86.0 166.0 0.5589780324737345 (7023, 12564, 9164, 10423)
87.0 167.0 0.5593824228028503 (7065, 12630, 9164, 10531)
88.0 168.0 0.5574866310160428 (7089, 12716, 9164, 10641)
89.0 169.0 0.5574247307601604 (7091, 12721, 9164, 10648)
90.0 170.0 0.5573371060284524 (7091, 12723, 9164, 10650)
91.0 171.0 0.5578071002199183 (7102, 12732, 9164, 10670)
92.0 172.0 0.557415519399249 (7126, 12784, 9164, 10746)
93.0 173.0 0.5551064822011503 (7142, 12866, 9164, 10844)
94.0 174.0 0.5512356609438755 (7160, 12989, 9164, 10985)
95.0 175.0 0.5492041628405264 (7177, 13068, 9164, 11081)
96.0 176.0 0.5491546170912708 (7178, 13071, 9164, 11085)
97.0 177.0 0.5490211073722852 (7179, 13076, 9164, 11091)
98.0 178.0 0.5488241114240049 (7211, 13139, 9164, 11186)
99.0 179.0 0.5454545454545454 (7242, 13277, 9164, 11355)
100.0 180.0 0.5446562593815671 (7257, 13324, 9164, 11417)
110.0 190.0 0.5371060905169263 (7346, 13677, 9164, 11859)
120.0 200.0 0.5295506582713223 (7401, 13976, 9164, 12213)
130.0 210.0 0.522695530726257 (7485, 14320, 9164, 12641)
